,AAS,AGCM,AFST,AFAS,AGED,ABE,ADV,AFRO,AIS,AE,ALEC,ACCY,AHS,ACE,ACES,ANSC,ANTH,ARAB,ARCH,ART,ARTD,ARTE,ARTJ,ASST,ARTS,ARTF,ARTH,ATMS,ASRM,ASTR,BCOG,BCS,BADM,BDI,BIOC,BIOE,CDB,CHBE,BIOP,BUS,BIOL,CB,BTW,BSE,CEE,CHIN,CHEM,CHP,CHLH,CI,CIC,CLCV,CSE,CMN,CW,CPSC,DTX,CZCH,CWL,CS,CLE,DANC,EALC,EDPR,ECON,ECE,EDUC,EIL,ENG,ENSU,ERAM,ESE,ENT,ENVS,EPOL,EPSY,FAA,ESL,EURO,ENGL,FLTE,FR,FIN,FSHN,GC,GSD,GS,GMC,GRK,GRKM,GLBL,HEBR,GEOG,GER,GWS,GEOL,HDFS,HIST,HORT,HNDI,HT,HUM,IB,IE,JAPN,JS,IHLT,KOR,INFO,ITAL,KIN,JOUR,IS,LAS,LAST,LAT,LA,LCTL,LEAD,MFST,MDVL,LER,MDIA,MBA,MICR,LING,MCB,MACS,LLS,LAW,MATH,ME,MILS,MIP,MUSE,MSE,NE,NEUR,MUS,PBIO,PERS,NS,NPRE,MUSC,NUTR,PATH,NRES,PHIL,PLPA,PHYS,POL,PSM,PORT,PS,QUEC,PSYC,REES,REHB,RMLG,RSOC,RHET,SBC,SCAN,SAME,RUSS,REL,SE,SLAV,RST,SHS,SOC,SOCW,SPAN,SWAH,SPED,TAM,TE,STAT,TMGT,TURK,UKR,TRST,THEA,TSM,UP,VCM,VM,WGGP,WLOF,WRIT,YDSH
0,"100 
                                        Intro Asian American Studies
                                    ","220 
                                        Communicating Agriculture
                                    ","103 
                                        Black Women in the Diaspora
                                    ","102 
                                        Leadership Laboratory
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","141 
                                        ABE Principles: Biological
                                    ","150 
                                        Introduction to Advertising
                                    ","100 
                                        Intro to African American St
                                    ","101 
                                        Intro to Amer Indian Studies
                                    ","140 
                                        Aerospace Computer-Aided Design
                                    ","295 
                                        Independent Study or Research
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","100 
                                        Introduction to Applied Microeconomics
                                    ","102 
                                        Intro Sustainable Food Systems
                                    ","100 
                                        Intro to Animal Sciences
                                    ","101 
                                        Introduction to Anthropology
                                    ","150 
                                        Lang&Culture of Arab World
                                    ","172 
                                        Drawing and Modeling
                                    ","102 
                                        Drawing for Non-Majors
                                    ","101 
                                        Introduction to Industrial Design
                                    ","101 
                                        Art, Design, and Society
                                    ","101 
                                        Introduction to Japanese Aesthetics
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","205 
                                        Introduction to Printmaking
                                    ","104 
                                        Expressive Drawing
                                    ","110 
                                        Introduction to the History of Art and Visual Culture
                                    ","100 
                                        Introduction to Meteorology
                                    ","210 
                                        Theory of Interest
                                    ","100 
                                        Introduction to Astronomy
                                    ","200 
                                        Introduction to Programming for the Brain and Cognitive Sciences
                                    ","102 
                                        First Year Bosnian-Croatian-Serbian II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","367 
                                        Data Visualization and Communication
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","120 
                                        Introduction to Bioengineering
                                    ","590 
                                        Individual Topics
                                    ","121 
                                        CHBE Profession
                                    ","586 
                                        Special Topics in Biophysics
                                    ","116 
                                        Intercultural Learning in Business
                                    ","599 
                                        Thesis Research
                                    ","290 
                                        Independent Research
                                    ","250 
                                        Principles Bus Comm
                                    ","601 
                                        Anatomy
                                    ","201 
                                        Systems Engrg & Economics
                                    ","201 
                                        Elementary Chinese I
                                    ","101 
                                        Introductory Chemistry
                                    ","199 
                                        Special Topics
                                    ","100 
                                        Contemporary Health
                                    ","205 
                                        Undergraduate Honors Research
                                    ","500 
                                        CIC Traveling Scholar
                                    ","100 
                                        Vocabulary Building from Greek and Latin Roots
                                    ","401 
                                        Numerical Analysis
                                    ","101 
                                        Public Speaking
                                    ","100 
                                        Intro to Creative Writing
                                    ","113 
                                        Environment, Agric, & Society
                                    ","210 
                                        Introduction to Social Design
                                    ","102 
                                        Elementary Czech II
                                    ","119 
                                        Literature of Fantasy
                                    ","101 
                                        Intro Computing: Engrg & Sci
                                    ","610 
                                        Faith, Medicine, and End-of-Life Care
                                    ","100 
                                        Intro to Contemporary Dance
                                    ","120 
                                        East Asian Civilizations
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","102 
                                        Microeconomic Principles
                                    ","101 
                                        Exploring Digital Info Technol
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","100 
                                        Engineering Orientation
                                    ","301 
                                        Soc Impacts Weather & Climate
                                    ","550 
                                        Methods of Educational Inquiry
                                    ","103 
                                        Earth's Physical Systems
                                    ","599 
                                        Thesis Research
                                    ","101 
                                        Introduction to Energy Sources
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","110 
                                        Exploring Arts and Creativity
                                    ","110 
                                        English Pronunciation & Oral Fluency
                                    ","415 
                                        Europe and the Mediterranean
                                    ","103 
                                        Intro to Fiction
                                    ","471 
                                        Introduction to Second Language Teaching
                                    ","101 
                                        Elementary French I
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","101 
                                        The Science of Food and How it Relates to You
                                    ","295 
                                        URAP Research Apprenticeship
                                    ","101 
                                        Introduction to Game Studies and Design
                                    ","101 
                                        Exploring General Studies
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","102 
                                        Elementary Greek II
                                    ","202 
                                        Elementary Modern Greek II
                                    ","100 
                                        Intro to Global Studies
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","100 
                                        Introduction to Meteorology
                                    ","101 
                                        Beginning German I
                                    ","100 
                                        Intro Gender & Women's Studies
                                    ","100 
                                        Planet Earth
                                    ","105 
                                        Intro to Human Development
                                    ","100 
                                        Global History
                                    ","100 
                                        Introduction to Horticulture
                                    ","115 
                                        Language and Culture in India
                                    ","503 
                                        Hardware Engineering for Health Technology
                                    ","191 
                                        Freshman Honors Tutorial
                                    ","100 
                                        Biology in Today's World
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","202 
                                        Elementary Japanese II
                                    ","120 
                                        A History of Judaism
                                    ","102 
                                        Survey of Interdisc Health
                                    ","202 
                                        Elementary Korean II
                                    ","102 
                                        Little Bits to Big Ideas
                                    ","101 
                                        Elementary Italian I
                                    ","100 
                                        Development Activities
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","100 
                                        Exploring the iSchool with a Human-Centered Lens
                                    ","102 
                                        Transfer Advantage
                                    ","170 
                                        Introduction to Latin America
                                    ","101 
                                        Elementary Latin I
                                    ","199 
                                        First-Year Seminar
                                    ","101 
                                        Elementary Course in a Less Commonly Taught Language I
                                    ","140 
                                        Harnessing Your Interpersonal Intelligence
                                    ","198 
                                        Food Systems Reflection
                                    ","201 
                                        Medieval Literature and Culture
                                    ","100 
                                        Introduction to Labor Studies
                                    ","223 
                                        Watching the Environment
                                    ","530 
                                        Internship
                                    ","590 
                                        Individual Topics
                                    ","100 
                                        Intro to Language Science
                                    ","100 
                                        Introductory Microbiology
                                    ","100 
                                        Intro to Popular TV & Movies
                                    ","100 
                                        Intro Latina/Latino Studies
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","103 
                                        Theory of Arithmetic
                                    ","170 
                                        Computer-Aided Design
                                    ","102 
                                        Introduction to the Profession of Arms
                                    ","590 
                                        Individual Topics
                                    ","250 
                                        The World Through Museums
                                    ","183 
                                        Freshman Materials Laboratory
                                    ","410 
                                        Neural Circuits and Systems
                                    ","302 
                                        Applied Neuroscience
                                    ","090 
                                        Seminar in Music Education
                                    ","599 
                                        Thesis Research
                                    ","202 
                                        Elementary Persian II
                                    ","100 
                                        Leadership Laboratory
                                    ","101 
                                        Introduction to Energy Sources
                                    ","101 
                                        Piano
                                    ","426 
                                        Biochemical Nutrition I
                                    ","290 
                                        Undergraduate Research
                                    ","100 
                                        Fundamentals of Env Sci
                                    ","100 
                                        Intro to Philosophy-ACP
                                    ","200 
                                        Plants, Pathogens, and People
                                    ","101 
                                        College Physics: Mech & Heat
                                    ","102 
                                        Elementary Polish II
                                    ","501 
                                        PSM Industry Seminar I
                                    ","150 
                                        Writing Brazilians into the U.S.
                                    ","100 
                                        Intro to Political Science
                                    ","411 
                                        Beginning Quechua II
                                    ","100 
                                        Intro Psych
                                    ","201 
                                        Introduction to Eastern Europe
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","435 
                                        Introduction to Romance Linguistics
                                    ","270 
                                        Global Demography
                                    ","102 
                                        Principles of Research
                                    ","504 
                                        Managing Projects & Teams
                                    ","102 
                                        Beginning Scandinavian II
                                    ","150 
                                        Lang&Culture of Arab World
                                    ","102 
                                        First-Year Russian II
                                    ","110 
                                        World Religions
                                    ","101 
                                        Engineering Graphics & Design
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","100 
                                        Recreation, Sport, and Tourism in Modern Society
                                    ","120 
                                        Child, Comm, & Lang Ability
                                    ","100 
                                        Introduction to Sociology
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","101 
                                        Elementary Spanish I
                                    ","202 
                                        Elementary Swahili II
                                    ","117 
                                        The Culture of Disability
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","100 
                                        Introduction to Innovation, Leadership and Engineering Entrepreneurship
                                    ","100 
                                        Statistics
                                    ","366 
                                        Product Design and Development
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","102 
                                        Basic Ukrainian II
                                    ","410 
                                        Translation and Interpreting Theory & Practice
                                    ","100 
                                        Practicum I
                                    ","100 
                                        Technical Systems in Agr
                                    ","116 
                                        Urban Informatics I
                                    ","501 
                                        Zoological Medicine Seminar
                                    ","603 
                                        Structure and Function II
                                    ","581 
                                        Gender Relations & Intl Dev
                                    ","202 
                                        Elementary Wolof II
                                    ","303 
                                        Writing Across Media
                                    ","102 
                                        Beginning Yiddish II
                                    "
1,"105 
                                        Introduction to Arab American Studies
                                    ","320 
                                        Public Information Campaigns
                                    ","112 
                                        History of Africa from 1800
                                    ","112 
                                        Heritage and Values of the United States Air Force II
                                    ","250 
                                        Observation and Program Analys
                                    ","152 
                                        Water in the Global Environment
                                    ","199 
                                        Undergraduate Seminar
                                    ","101 
                                        Black America, 1619-Present
                                    ","265 
                                        Intro to American Indian Lit
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","393 
                                        Internship in Agricultural Leadership, Education and Communications
                                    ","200 
                                        Fundamentals of Accounting
                                    ","292 
                                        AHS Study Abroad
                                    ","161 
                                        Microcomputer Applications
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","101 
                                        Contemporary Animal Issues
                                    ","103 
                                        Anthro in a Changing World
                                    ","202 
                                        Elementary Standard Arabic II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","103 
                                        Painting for Non-Majors
                                    ","151 
                                        Introduction to Graphic Design
                                    ","301 
                                        Curriculum, Assessment, and Art Education
                                    ","209 
                                        Chado (The Way of Tea)
                                    ","208 
                                        Cultures & Literatures of South Asia
                                    ","210 
                                        Ceramics Sculpture I
                                    ","106 
                                        Visualization Drawing
                                    ","214 
                                        Art in China
                                    ","120 
                                        Severe and Hazardous Weather
                                    ","390 
                                        Introduction to Actuarial Research
                                    ","121 
                                        Solar System and Worlds Beyond
                                    ","301 
                                        Intelligence and the Brain
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","210 
                                        Business Analytics I
                                    ","475 
                                        Introduction to Data Analytics Applications in Business
                                    ","290 
                                        Individual Topics
                                    ","198 
                                        Special Topics
                                    ","595 
                                        Graduate Sem Cell Devel Biol
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","590 
                                        Individual Topics
                                    ","199 
                                        Undergraduate Open Seminar
                                    ",,"516 
                                        Reprod & Dev Toxicology
                                    ","261 
                                        Principles Tech Comm
                                    ","634 
                                        Clinical Neuroscience
                                    ","202 
                                        Engineering Risk & Uncertainty
                                    ","202 
                                        Elementary Chinese II
                                    ","102 
                                        General Chemistry I
                                    ","395 
                                        Interdisciplinary Seminar
                                    ","101 
                                        Introduction to Public Health
                                    ","210 
                                        Introduction to Digital Learning Environments
                                    ",,"102 
                                        Medical Terms-GRK & LAT Roots
                                    ","402 
                                        Parallel Progrmg: Sci & Engrg
                                    ","102 
                                        Introduction to Communication
                                    ","104 
                                        Fiction Workshop I
                                    ","116 
                                        The Global Food Production Web
                                    ","251 
                                        Introduction to Design Thinking
                                    ",,"122 
                                        Russia and Black America
                                    ","102 
                                        Little Bits to Big Ideas
                                    ","613 
                                        Introduction to Clinical Practice (Longitudinal)
                                    ","101 
                                        Modern Dance I
                                    ","132 
                                        Zen
                                    ","250 
                                        School & Community Experiences
                                    ","103 
                                        Macroeconomic Principles
                                    ","110 
                                        Introduction to Electronics
                                    ","201 
                                        Identity and Difference in Education
                                    ","214 
                                        TESL in the Elementary School
                                    ","101 
                                        Engineering at Illinois
                                    ","310 
                                        Renewable & Alternative Energy
                                    ","551 
                                        Philosophy and Educational Research
                                    ","111 
                                        Emergence of Life
                                    ",,"210 
                                        Environmental Economics
                                    ","201 
                                        Foundations of Education
                                    ","201 
                                        Educational Psychology
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","111 
                                        Intro to Academic Writing I
                                    ","490 
                                        Special Topics in EU Studies
                                    ","104 
                                        Introduction to Film
                                    ","478 
                                        Secondary World Language Teaching
                                    ","102 
                                        Elementary French II
                                    ","221 
                                        Corporate Finance
                                    ","120 
                                        Contemporary Nutrition
                                    ","498 
                                        Graduate Domestic Study Away
                                    ","103 
                                        The Basics of Game Design
                                    ","102 
                                        Preparation for 21st Century Challenges
                                    ",,"199 
                                        Undergraduate Open Seminar
                                    ","404 
                                        Intermediate Modern Greek II
                                    ","118 
                                        Natural Disasters
                                    ","202 
                                        Elementary Modern Hebrew II
                                    ","101 
                                        Global Development&Environment
                                    ","102 
                                        Beginning German II
                                    ","103 
                                        Black Women in the Diaspora
                                    ","107 
                                        Physical Geology
                                    ","120 
                                        Intro to Family Studies
                                    ","112 
                                        History of Africa from 1800
                                    ","105 
                                        Vegetable Gardening
                                    ","202 
                                        Elementary Hindi-Urdu II
                                    ","511 
                                        Health Technology Capstone Development
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","103 
                                        Introduction to Plant Biology
                                    ","300 
                                        Analysis of Data
                                    ","204 
                                        Intermediate Japanese II
                                    ","231 
                                        Development of Ancient Cities
                                    ","232 
                                        Health Disparities in the U.S.
                                    ","204 
                                        Intermediate Korean II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","102 
                                        Elementary Italian II
                                    ","101 
                                        Dance Activities
                                    ","200 
                                        Introduction to Journalism
                                    ","101 
                                        Introduction to Information Sciences
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","210 
                                        Life in the Andes
                                    ","102 
                                        Elementary Latin II
                                    ","221 
                                        History of the Prison
                                    ","102 
                                        Elementary Course in a Less Commonly Taught Language II
                                    ","170 
                                        Leading Student Organizations
                                    ","301 
                                        Experiential Learning Preparedness & Planning
                                    ","252 
                                        Viking Sagas in Translation
                                    ","110 
                                        Labor and Social Movements
                                    ","299 
                                        Media Study Abroad
                                    ","531 
                                        Special Projects
                                    ","595 
                                        Microbiology Graduate Seminar
                                    ","115 
                                        Language and Culture in India
                                    ","101 
                                        Intro Microbiology Laboratory
                                    ","101 
                                        Introduction to the Media
                                    ","201 
                                        US Racial & Ethnic Politics
                                    ","303 
                                        Living the Law
                                    ","112 
                                        Algebra
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","114 
                                        Leadership Laboratory
                                    ","595 
                                        Seminars in Physiology
                                    ","389 
                                        Seminar in Museum Studies
                                    ","199 
                                        Undergraduate Open Seminar
                                    ",,"414 
                                        Brain, Learning, and Memory
                                    ","102 
                                        Music Theory and Practice II
                                    ",,"403 
                                        Intermediate Persian I
                                    ","102 
                                        Sea Power and Maritime Affairs
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","102 
                                        Harpsichord
                                    ","427 
                                        Biochemical Nutrition II
                                    ","410 
                                        Comparative Immunobiology
                                    ","101 
                                        Wildlife Conservation in the 21st Century
                                    ","101 
                                        Introduction to Philosophy
                                    ","395 
                                        Undergrad Research or Thesis
                                    ","102 
                                        College Physics: E&M & Modern
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","502 
                                        PSM Industry Seminar II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","101 
                                        Intro to US Gov & Pol
                                    ","421 
                                        Intermediate Quechua II
                                    ","144 
                                        Stereotypes, Prejudice & Discrimination
                                    ","390 
                                        Individual Study or Research
                                    ","322 
                                        Introduction to Intellectual Disability
                                    ","559 
                                        Sem Romance Ling
                                    ",,"105 
                                        Writing and Research
                                    ","505 
                                        Consumer Insights II
                                    ","104 
                                        Intermediate Scandinavian II
                                    ","152 
                                        The New Middle East
                                    ","122 
                                        Russia and Black America
                                    ","112 
                                        Elementary Greek II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","399 
                                        Advanced Undergraduate Open Seminar
                                    ","101 
                                        Orientation to Recreation, Sport and Tourism
                                    ","121 
                                        American Sign Language I
                                    ","130 
                                        Intro Gender & Women's Studies
                                    ","200 
                                        Introduction to Social Work
                                    ","102 
                                        Elementary Spanish II
                                    ","404 
                                        Intermediate Swahili II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","210 
                                        Introduction to Statics
                                    ","110 
                                        Communicating and Presenting in Engineering
                                    ","107 
                                        Data Science Discovery
                                    ","461 
                                        Tech, Eng, & Mgt Final Project
                                    ","202 
                                        Elementary Turkish II
                                    ","113 
                                        Ukrainian Culture
                                    ","413 
                                        Arabic-English Translation
                                    ","101 
                                        Introduction to Theatre Arts
                                    ","103 
                                        Agricultural Machinery and Technology
                                    ","136 
                                        Urban Sustainability
                                    ","503 
                                        Current Lit in Equine Med Surg
                                    ","604 
                                        Structure and Function III
                                    ",,"404 
                                        Intermediate Wolof II
                                    ",,"104 
                                        Intermediate Yiddish II
                                    "
2,"201 
                                        US Racial & Ethnic Politics
                                    ","398 
                                        Undergraduate Seminar
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","222 
                                        Team and Leadership Fundamentals II
                                    ","410 
                                        Grad Early Field Experience
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","200 
                                        Data Literacy
                                    ","103 
                                        Black Women in the Diaspora
                                    ","285 
                                        Indigenous Thinkers
                                    ","202 
                                        Aerospace Flight Mechanics
                                    ","396 
                                        Honors Research or Thesis
                                    ","201 
                                        Accounting and Accountancy I
                                    ","375 
                                        Comm Partners & Health
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","200 
                                        ACES Transfer Orientation
                                    ","103 
                                        Working With Farm Animals
                                    ","110 
                                        Humanizing Science
                                    ","211 
                                        Colloquial Arabic II
                                    ","222 
                                        Islamic Gardens & Architecture
                                    ","104 
                                        Sculpture for Non-Majors
                                    ","202 
                                        Industrial Design II
                                    ","391 
                                        Independent Study
                                    ","299 
                                        Seminar in Japanese Aesthetics
                                    ","390 
                                        Individual Study
                                    ","220 
                                        Introduction to Fashion
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","217 
                                        Development of Ancient Cities
                                    ","140 
                                        Climate and Global Change
                                    ","392 
                                        Actuarial Problem Solving
                                    ","122 
                                        Stars and Galaxies
                                    ",,"202 
                                        Second Year Bosnian-Croatian-Serbian II
                                    ","211 
                                        Business Analytics II
                                    ","477 
                                        Emerging Technology and Disruption: Learning to Navigate an Uncertain Future
                                    ","406 
                                        Gene Expression & Regulation
                                    ","202 
                                        Cell & Tissue Engineering Lab
                                    ","599 
                                        Thesis Research
                                    ","202 
                                        Cooperative Education Practice
                                    ","595 
                                        Biophysics Seminars
                                    ","201 
                                        Business Dynamics
                                    ",,"590 
                                        Seminar
                                    ","263 
                                        Writing in the Disciplines
                                    ","635 
                                        Musculoskeletal and Integument
                                    ","300 
                                        Behavior of Materials
                                    ","203 
                                        Intermediate Chinese I
                                    ","103 
                                        General Chemistry Lab I
                                    ",,"125 
                                        Orientation KIN & Comm Health
                                    ","395 
                                        Independent Study
                                    ",,"111 
                                        Mythology of Greece and Rome
                                    ","412 
                                        Numerical Thermo-Fluid Mechs
                                    ","112 
                                        Oral & Written Comm II
                                    ","106 
                                        Poetry Workshop I
                                    ","180 
                                        Medicinal Plants and Herbology
                                    ","252 
                                        Introduction to Prototyping
                                    ",,"189 
                                        Literatures of the Islamic World
                                    ","105 
                                        Intro Computing: Non-Tech
                                    ","645 
                                        Internal Medicine Clerkship
                                    ","102 
                                        Modern Dance II
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","420 
                                        School Access & Supports
                                    ","198 
                                        Economics at Illinois
                                    ","120 
                                        Introduction to Computing
                                    ","202 
                                        Social Justice, School and Society
                                    ","215 
                                        TESL in the Secondary School
                                    ","110 
                                        Communicating and Presenting in Engineering
                                    ","410 
                                        Sustainable Organizations
                                    ","554 
                                        Postcolonial Theory and Methodology
                                    ","118 
                                        Natural Disasters
                                    ",,"220 
                                        Communicating Agriculture
                                    ","202 
                                        Foundations of Education-ACP
                                    ","202 
                                        Exploring Cultural Diversity
                                    ","202 
                                        Artsful Teaching through Integ
                                    ","112 
                                        Intro to Academic Writing II
                                    ","500 
                                        Dialogue on Europe
                                    ","109 
                                        Intro to Fiction-ACP
                                    ",,"103 
                                        Intermediate French I
                                    ","230 
                                        Introduction to Insurance
                                    ","145 
                                        Intro Hospitality Management
                                    ","500 
                                        URAP Graduate Mentor Practicum
                                    ","199 
                                        Individual Study
                                    ","198 
                                        DGS Honors Seminar
                                    ",,"202 
                                        Classical & Koine Greek II
                                    ",,"130 
                                        Resistance Movements
                                    ","404 
                                        Intermediate Modern Hebrew II
                                    ","103 
                                        Earth's Physical Systems
                                    ","103 
                                        Intermediate German I
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","111 
                                        Emergence of Life
                                    ","140 
                                        Intro Gender & Women's Studies
                                    ","120 
                                        East Asian Civilizations
                                    ","199 
                                        Special Topics
                                    ","404 
                                        Intermediate Hindi II
                                    ",,"275 
                                        Careers for Humanities Majors
                                    ","108 
                                        The Biology of Dinosaurs
                                    ","310 
                                        Deterministic Models in Optimization
                                    ","306 
                                        Advanced Japanese II
                                    ","261 
                                        The Holocaust in Context
                                    ","375 
                                        Interdis Collab in Health Serv
                                    ","222 
                                        Korean Reading and Writing II
                                    ","202 
                                        Social Aspects Info Tech
                                    ","103 
                                        Intermediate Italian I
                                    ","102 
                                        Individual and Dual Activities
                                    ","205 
                                        History of American Journalism
                                    ","107 
                                        Data Science Discovery
                                    ","291 
                                        Global Perspectives for Intercultural Learning
                                    ","395 
                                        Special Topics
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","222 
                                        Islamic Gardens & Architecture
                                    ","202 
                                        Intermediate Course in a Less Commonly Taught Language II
                                    ","260 
                                        Foundations of Leadership
                                    ","396 
                                        Honors Research or Thesis
                                    ","345 
                                        Medieval Civilization
                                    ","120 
                                        Contemporary Labor Problems
                                    ","572 
                                        Proseminar II
                                    ","545 
                                        Marketing in Our New Digital World
                                    ","599 
                                        Thesis Research
                                    ","191 
                                        Freshman Honors Tutorial
                                    ","150 
                                        Molec & Cellular Basis of Life
                                    ","104 
                                        Introduction to Film
                                    ","215 
                                        US Citizenship Comparatively
                                    ","305 
                                        Art and Cultural Property Law
                                    ","115 
                                        Preparation for Calculus
                                    ","200 
                                        Thermodynamics
                                    ","202 
                                        Leadership and Teamwork
                                    ","599 
                                        Thesis Research
                                    ","390 
                                        Museum Internship
                                    ","206 
                                        Mechanics for MatSE
                                    ",,"432 
                                        Genes and Behavior
                                    ","103 
                                        Rudiments of Music Theory I
                                    ",,"404 
                                        Intermediate Persian II
                                    ","204 
                                        Navigation/Naval Operations I
                                    ","247 
                                        Modeling Nuclear Energy System
                                    ","103 
                                        Organ
                                    ","500 
                                        Nutritional Sciences Seminar
                                    ","527 
                                        Parasitology/Epidemiology Sem
                                    ","105 
                                        Climate Change Impacts on Ecological Systems
                                    ","102 
                                        Logic and Reasoning
                                    ","403 
                                        Advanced Plant Pathology
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","202 
                                        Second Yr Polish II
                                    ","503 
                                        PSM Industry Seminar III
                                    ","400 
                                        Intensive Beginning Portuguese
                                    ","125 
                                        Washington Experience
                                    ",,"201 
                                        Intro to Social Psych
                                    ","493 
                                        Honors Senior Thesis
                                    ","330 
                                        Disability in American Society
                                    ",,,"199 
                                        Undergraduate Open Seminar
                                    ","506 
                                        Measurement and Evaluation
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","208 
                                        Cultures & Literatures of South Asia
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","115 
                                        Language and Culture in India
                                    ","261 
                                        Business Side of Engineering
                                    ","430 
                                        History of Translation
                                    ","120 
                                        Parks, Recreation, and Environments
                                    ","170 
                                        Intro Hum Comm Sys & Disorders
                                    ","163 
                                        Social Problems
                                    ","210 
                                        Queer Visibility
                                    ","122 
                                        Intensive Elementary Spanish
                                    ","406 
                                        Advanced Swahili II
                                    ","317 
                                        Characteristics & Eligibility
                                    ","211 
                                        Statics
                                    ","250 
                                        From Idea to Enterprise
                                    ","200 
                                        Statistical Analysis
                                    ",,"270 
                                        Language and Culture in Turkey
                                    ","199 
                                        Undergraduate Open Seminar
                                    ","415 
                                        Machine Translation: History and Applications
                                    ","110 
                                        Broadway Musicals
                                    ","132 
                                        Basics of Project Management
                                    ","185 
                                        Cities in a Global Perspective
                                    ","506 
                                        Topics in Pathophysiology
                                    ","606 
                                        Clinical Practice II
                                    ",,"406 
                                        Advanced Wolof II
                                    ",,"320 
                                        Responses to the Holocaust
                                    "
